Device_id,kernel_name,kernel_type,stream_id,task_id,task_time(us),task_start(us),task_stop(us)
0,trans_TransData_55,KERNEL_AIVEC,1,1100,117.125,1763720955793526.782	,1763720955793643.907	
0,AsStrided258,KERNEL_AIVEC,1,1101,16.458,1763720956236391.282	,1763720956236407.740	
0,N/A,MEMCPY_ASYNC,1,1102,2.125,1763720956236583.178	,1763720956236585.303	
0,trans_TransData_55,KERNEL_AIVEC,1,1103,106.333,1763720956236693.011	,1763720956236799.344	
0,AsStrided259,KERNEL_AIVEC,1,1104,16.312,1763720956690108.969	,1763720956690125.281	
0,N/A,MEMCPY_ASYNC,1,1105,2.02,1763720956690277.240	,1763720956690279.260	
0,trans_TransData_55,KERNEL_AIVEC,1,1106,103.604,1763720956690348.886	,1763720956690452.490	
0,AsStrided260,KERNEL_AIVEC,1,1107,16.395,1763720957152441.303	,1763720957152457.698	
0,N/A,MEMCPY_ASYNC,1,1108,2.041,1763720957152613.240	,1763720957152615.281	
0,trans_TransData_55,KERNEL_AIVEC,1,1109,81.687,1763720957152688.928	,1763720957152770.615	
0,AsStrided261,KERNEL_AIVEC,1,1110,16.479,1763720957616296.782	,1763720957616313.261	
0,N/A,MEMCPY_ASYNC,1,1111,1.937,1763720957616460.449	,1763720957616462.386	
0,trans_TransData_55,KERNEL_AIVEC,1,1112,108.333,1763720957616530.011	,1763720957616638.344	
0,AsStrided262,KERNEL_AIVEC,1,1113,16.916,1763720958079521.782	,1763720958079538.698	
0,N/A,MEMCPY_ASYNC,1,1114,2.083,1763720958079770.657	,1763720958079772.740	
0,trans_TransData_55,KERNEL_AIVEC,1,1115,98.937,1763720958079864.324	,1763720958079963.261	
0,AsStrided263,KERNEL_AIVEC,1,1116,16.5,1763720958540939.094	,1763720958540955.594	
0,N/A,MEMCPY_ASYNC,1,1117,2.062,1763720958541106.407	,1763720958541108.469	
0,trans_TransData_55,KERNEL_AIVEC,1,1118,113.062,1763720958541202.011	,1763720958541315.073	
0,AsStrided264,KERNEL_AIVEC,1,1119,16.5,1763720959000349.469	,1763720959000365.969	
0,N/A,MEMCPY_ASYNC,1,1120,2.104,1763720959000513.178	,1763720959000515.282	
0,trans_TransData_55,KERNEL_AIVEC,1,1121,111.458,1763720959000590.199	,1763720959000701.657	
0,AsStrided265,KERNEL_AIVEC,1,1122,16.5,1763720959467320.011	,1763720959467336.511	
0,N/A,MEMCPY_ASYNC,1,1123,2.041,1763720959467543.949	,1763720959467545.990	
0,trans_TransData_55,KERNEL_AIVEC,1,1124,113.0,1763720959467643.574	,1763720959467756.574	
0,AsStrided266,KERNEL_AIVEC,1,1125,16.52,1763720959939858.011	,1763720959939874.531	
0,N/A,MEMCPY_ASYNC,1,1126,2.02,1763720959940023.053	,1763720959940025.073	
0,trans_TransData_55,KERNEL_AIVEC,1,1127,95.645,1763720959940094.219	,1763720959940189.864	
0,AsStrided267,KERNEL_AIVEC,1,1128,16.145,1763720960417743.428	,1763720960417759.573	
0,N/A,MEMCPY_ASYNC,1,1129,2.125,1763720960417915.136	,1763720960417917.261	
0,trans_TransData_55,KERNEL_AIVEC,1,1130,118.145,1763720960417983.365	,1763720960418101.510	
0,AsStrided268,KERNEL_AIVEC,1,1131,16.812,1763720960863820.469	,1763720960863837.281	
0,N/A,MEMCPY_ASYNC,1,1132,2.083,1763720960863998.844	,1763720960864000.927	
0,trans_TransData_55,KERNEL_AIVEC,1,1133,96.729,1763720960864097.719	,1763720960864194.448	
0,AsStrided269,KERNEL_AIVEC,1,1134,16.479,1763720961305046.490	,1763720961305062.969	
0,N/A,MEMCPY_ASYNC,1,1135,2.104,1763720961305247.949	,1763720961305250.053	
0,trans_TransData_55,KERNEL_AIVEC,1,1136,80.875,1763720961305316.803	,1763720961305397.678	
0,AsStrided270,KERNEL_AIVEC,1,1137,16.416,1763720961743002.574	,1763720961743018.990	
0,N/A,MEMCPY_ASYNC,1,1138,2.062,1763720961744338.824	,1763720961744340.886	
0,trans_TransData_55,KERNEL_AIVEC,1,1139,104.52,1763720961744446.886	,1763720961744551.406	
0,AsStrided271,KERNEL_AIVEC,1,1140,16.437,1763720962200432.011	,1763720962200448.448	
0,N/A,MEMCPY_ASYNC,1,1141,2.041,1763720962201666.553	,1763720962201668.594	
0,trans_TransData_55,KERNEL_AIVEC,1,1142,86.562,1763720962203533.240	,1763720962203619.802	
0,AsStrided272,KERNEL_AIVEC,1,1143,16.333,1763720962659283.219	,1763720962659299.552	
0,N/A,MEMCPY_ASYNC,1,1144,2.104,1763720962659468.699	,1763720962659470.803	
0,trans_TransData_55,KERNEL_AIVEC,1,1145,95.52,1763720962659552.136	,1763720962659647.656	
0,AsStrided273,KERNEL_AIVEC,1,1146,16.25,1763720963097579.490	,1763720963097595.740	
0,N/A,MEMCPY_ASYNC,1,1147,2.041,1763720963097750.636	,1763720963097752.677	
0,trans_TransData_55,KERNEL_AIVEC,1,1148,111.541,1763720963097858.240	,1763720963097969.781	
0,AsStrided274,KERNEL_AIVEC,1,1149,16.833,1763720963595572.928	,1763720963595589.761	
0,N/A,MEMCPY_ASYNC,1,1150,2.041,1763720963595866.136	,1763720963595868.177	
0,trans_TransData_55,KERNEL_AIVEC,1,1151,81.708,1763720963595950.782	,1763720963596032.490	
0,AsStrided275,KERNEL_AIVEC,1,1152,16.375,1763720964056777.803	,1763720964056794.178	
